reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2025-03-03,2025-03-08,Money Management,issuing,548865.6538,228973.9342,,,,
2025-09-29,2025-09-30,Money Management,issuing,573175.7564,248070.2373,,,,
2024-10-07,2024-10-10,Money Management,issuing,514997.7766,201067.2617,,,,
2026-05-11,2026-05-13,Money Management,issuing,,,659507.355,291321.9058,647322.8634,302363.7548
2026-05-11,2026-05-11,Money Management,issuing,,,653743.87,288776.0214,641665.8596,299721.375
2024-01-15,2024-01-21,Money Management,issuing,265377.0598,152022.1268,,,,
2025-11-03,2025-11-07,Money Management,issuing,722916.7278,362364.8889,,,,
2026-12-28,2026-12-30,Money Management,issuing,,,833941.0317,385954.1154,789571.4232,373307.5605
2024-02-05,2024-02-10,Money Management,issuing,421570.6717,223915.2784,,,,
2025-09-29,2025-10-04,Money Management,issuing,659703.4238,280971.7208,,,,
2023-04-03,2023-04-08,Money Management,issuing,323638.8953,171923.5611,,,,
2023-04-03,2023-04-07,Money Management,issuing,351882.4772,186927.1261,,,,
2025-01-27,2025-01-30,Money Management,issuing,477081.425,156797.0515,,,,
2023-01-02,2023-01-03,Money Management,issuing,258172.7953,95908.05787,,,,
2026-06-15,2026-06-19,Money Management,issuing,,,684327.1372,308668.909,682219.907,316373.2367
2023-05-15,2023-05-16,Money Management,issuing,256655.4284,133979.9247,,,,
2023-05-01,2023-05-05,Money Management,issuing,318956.1072,166502.2847,,,,
2026-02-23,2026-03-01,Money Management,issuing,548068.7198,258159.9661,635981.5264,283867.3641,631970.4603,294137.1672
2025-09-22,2025-09-27,Money Management,issuing,612704.6715,265178.3358,,,,
2023-10-02,2023-10-07,Money Management,issuing,358567.3116,193573.5511,,,,
2024-10-28,2024-10-28,Money Management,issuing,356643.4715,139242.0113,,,,
2025-11-10,2025-11-11,Money Management,issuing,609561.5465,305545.1528,,,,
2024-03-18,2024-03-21,Money Management,issuing,402701.6669,203283.1295,,,,
2024-03-11,2024-03-11,Money Management,issuing,269921.635,136255.991,,,,
2024-05-06,2024-05-11,Money Management,issuing,471312.2674,224838.3029,,,,
2023-11-06,2023-11-08,Money Management,issuing,367705.1929,185367.7352,,,,
2023-04-10,2023-04-13,Money Management,issuing,322012.6207,171059.651,,,,
2023-01-30,2023-01-31,Money Management,issuing,236194.7187,87743.46934,,,,
2024-04-22,2024-04-26,Money Management,issuing,450836.7641,246358.0444,,,,
2026-06-22,2026-06-23,Money Management,issuing,,,636818.4585,287239.9005,634857.5205,294409.3635
2026-06-01,2026-06-05,Money Management,issuing,,,702117.6211,316693.3887,699955.6091,324598.0062
2023-03-20,2023-03-23,Money Management,issuing,314726.3964,150783.5517,,,,
2026-06-29,2026-07-03,Money Management,issuing,,,846534.1131,384638.5085,838821.3678,391445.9804
2026-08-24,2026-08-25,Money Management,issuing,,,658619.9304,301226.5082,656602.0324,307294.4483
2025-12-01,2025-12-01,Money Management,issuing,680804.2136,310529.8756,,,,
2025-09-01,2025-09-04,Money Management,issuing,673425.8343,291458.4307,,,,
2023-06-12,2023-06-15,Money Management,issuing,307616.9923,166955.5665,,,,
2026-09-28,2026-10-03,Money Management,issuing,,,968222.0878,430650.0853,941182.6273,443590.6387
2025-11-03,2025-11-09,Money Management,issuing,498759.5446,250005.2081,,,,
2025-06-23,2025-06-27,Money Management,issuing,591261.9623,244089.2539,,,,
2024-08-12,2024-08-13,Money Management,issuing,400355.2286,186649.871,,,,
