reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy25_2_10_forecast_gross_revenue,estimated_fy25_5_7_forecast_gross_revenue,estimated_fy25_8_4_forecast_gross_revenue,estimated_fy25_budget_gross_revenue,estimated_fy26_budget_gross_revenue
2/17/25,2/22/25,Money Management,Connect,21530.99139,0,0,0,0,105489.3408
8/8/22,8/14/22,Money Management,Instant Payouts,171907.0008,0,0,0,0,null
12/30/19,12/31/19,Money Management,Instant Payouts,4647446.281,0,0,0,0,null
5/20/24,5/21/24,Money Management,Connect,21289.193,0,0,0,0,null
6/29/26,6/30/26,Money Management,Instant Payouts,null,0,0,0,0,530034.3094
10/12/26,10/13/26,Money Management,Capital,null,0,0,0,0,380837.052
11/23/26,11/27/26,Money Management,Multicurrency Settlement,null,0,0,0,0,280356.1416
3/28/22,4/3/22,Money Management,Instant Payouts,171492.8596,0,0,0,0,null
1/10/22,1/13/22,Money Management,Connect,437357.4629,0,0,0,0,null
3/30/26,4/1/26,Money Management,Capital,null,0,0,0,0,251704.4662
8/30/21,9/1/21,Money Management,Connect,-528304.5255,0,0,0,0,null
5/2/22,5/6/22,Money Management,Connect,347222.2342,0,0,0,0,null
2/5/24,2/5/24,Money Management,Capital,205687.036,0,0,0,0,null
1/16/23,1/18/23,Money Management,Connect,1273928.692,0,0,0,0,null
11/30/26,11/30/26,Money Management,Instant Payouts,null,0,0,0,0,585460.3218
11/25/24,12/1/24,Money Management,Instant Payouts,6606162.858,0,0,0,0,null
1/15/24,1/17/24,Money Management,Multicurrency Settlement,224519.7364,0,0,0,0,null
2/17/20,2/20/20,Money Management,Instant Payouts,-433.1780619,0,0,0,0,null
12/20/21,12/24/21,Money Management,Instant Payouts,167889.0661,0,0,0,0,null
8/7/23,8/11/23,Money Management,Connect,20575.70701,0,0,0,0,null
6/24/24,6/30/24,Money Management,Connect,-1461648.063,0,0,0,0,null
3/30/26,4/5/26,Money Management,Instant Payouts,null,0,0,0,0,364145.7121
4/26/21,4/29/21,Money Management,Instant Payouts,123947.8508,0,0,0,0,null
7/1/24,7/5/24,Money Management,Multicurrency Settlement,228002.6214,0,0,0,0,null
11/29/21,12/3/21,Money Management,Connect,160602.6503,0,0,0,0,null
9/2/24,9/3/24,Money Management,Connect,51420.08578,0,0,0,0,null
7/31/23,8/6/23,Money Management,Instant Payouts,53374.54883,0,0,0,0,null
4/27/26,4/27/26,Money Management,Instant Payouts,null,0,0,0,0,506722.8498
8/31/26,9/6/26,Money Management,Multicurrency Settlement,null,0,0,0,0,165946.9232
7/1/24,7/7/24,Money Management,Instant Payouts,172521.1395,0,0,0,0,null
3/28/22,3/28/22,Money Management,Instant Payouts,198782.898,0,0,0,0,null
11/23/26,11/26/26,Money Management,Capital,null,0,0,0,0,605536.7049
7/13/26,7/17/26,Money Management,Connect,null,0,0,0,0,707695.1293
4/20/26,4/24/26,Money Management,Multicurrency Settlement,null,0,0,0,0,243028.4137
3/27/23,3/29/23,Money Management,Capital,200488.5073,0,0,0,0,null
11/16/26,11/16/26,Money Management,Capital,null,0,0,0,0,391782.9854
8/24/26,8/28/26,Money Management,Instant Payouts,null,0,0,0,0,593373.7436
11/11/24,11/17/24,Money Management,Multicurrency Settlement,110672.1201,0,0,0,0,null
1/8/24,1/13/24,Money Management,Instant Payouts,70167.23142,0,0,0,0,null
11/7/22,11/7/22,Money Management,Instant Payouts,221462.5716,0,0,0,0,null
12/21/26,12/23/26,Money Management,Capital,null,0,0,0,0,502723.6888
11/11/24,11/13/24,Money Management,Instant Payouts,154422.3705,0,0,0,0,null
1/13/25,1/17/25,Money Management,Instant Payouts,179481.456,0,0,0,0,441503.1244
3/27/23,4/2/23,Money Management,Instant Payouts,205833.7698,0,0,0,0,null
11/11/24,11/11/24,Money Management,Multicurrency Settlement,286051.3432,0,0,0,0,null
2/16/26,2/19/26,Money Management,Instant Payouts,376614.5427,0,0,0,0,353539.0591
8/8/22,8/14/22,Money Management,Connect,513428.9678,0,0,0,0,null
12/8/25,12/10/25,Money Management,Multicurrency Settlement,424586.7949,0,0,0,0,415292.6661
8/22/22,8/27/22,Money Management,Connect,20341.35051,0,0,0,0,null
5/23/22,5/27/22,Money Management,Multicurrency Settlement,33692.39922,0,0,0,0,null
2/13/23,2/14/23,Money Management,Instant Payouts,202175.3175,0,0,0,0,null
2/13/23,2/16/23,Money Management,Multicurrency Settlement,126856.7713,0,0,0,0,null
2/19/24,2/22/24,Money Management,Capital,233384.9839,0,0,0,0,null
1/6/25,1/12/25,Money Management,Instant Payouts,96706.0104,0,0,0,0,277492.1151
4/24/23,4/24/23,Money Management,Instant Payouts,85527.34981,0,0,0,0,null
8/8/22,8/12/22,Money Management,Connect,217561.8598,0,0,0,0,null
6/3/24,6/3/24,Money Management,Multicurrency Settlement,502818.1479,0,0,0,0,null
