reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
7/25/22,7/30/22,Money Management,Financial Accounts,,0,0,0,0,0,null
2/27/23,3/3/23,Money Management,Other BaaS Products,,0,0,0,0,-15527.96,null
11/10/25,11/13/25,Money Management,Faster Payouts,,0,0,0,0,29149.20817,0
12/2/24,12/6/24,Money Management,Other BaaS Products,,0,0,0,0,-6879.43,null
7/7/25,7/11/25,Money Management,Faster Payouts,,0,0,0,0,20348.62845,0
9/6/21,9/7/21,Money Management,Other BaaS Products,,0,0,0,0,-7237.5,null
11/17/25,11/21/25,Money Management,Financial Accounts,,0,0,0,0,-7893.84537,0
8/25/25,8/26/25,Money Management,Financial Accounts,,0,0,0,0,-6238.626297,0
7/29/24,8/3/24,Money Management,Other BaaS Products,,0,0,0,0,-6357.64,null
11/18/24,11/22/24,Money Management,Financial Accounts,,0,0,0,0,0,null
5/6/24,5/9/24,Money Management,Financial Accounts,,0,0,0,0,0,null
4/21/25,4/22/25,Money Management,Faster Payouts,,0,0,0,0,13559.34282,0
3/4/24,3/8/24,Money Management,Other BaaS Products,,0,0,0,0,-7467.94,null
3/18/24,3/19/24,Money Management,Other BaaS Products,,0,0,0,0,-5987.73,null
3/31/25,4/2/25,Money Management,Other BaaS Products,,0,0,0,0,-17581.82,0
10/11/21,10/16/21,Money Management,Other BaaS Products,,0,0,0,0,-8578.62,null
2/14/22,2/17/22,Money Management,Other BaaS Products,,0,0,0,0,-11798.18,null
6/30/25,6/30/25,Money Management,Other BaaS Products,,0,0,0,0,160788.79,35145.91
7/15/24,7/17/24,Money Management,Other BaaS Products,,0,0,0,0,-10665.59,null
8/25/25,8/28/25,Money Management,Mass Payouts,,0,0,0,0,1612.390047,0
2/2/26,2/6/26,Money Management,Mass Payouts,,0,0,0,0,15315.39052,0
3/16/26,3/20/26,Money Management,Mass Payouts,,0,0,0,0,null,0
2/16/26,2/19/26,Money Management,Faster Payouts,,0,0,0,0,46214.29149,0
12/16/24,12/21/24,Money Management,Mass Payouts,,0,0,0,0,69,null
12/15/25,12/21/25,Money Management,Financial Accounts,,0,0,0,0,-5763.781141,0
12/22/25,12/22/25,Money Management,Faster Payouts,,0,0,0,0,34339.20305,0
9/29/25,9/29/25,Money Management,Other BaaS Products,,0,0,0,0,-2110.18,0
5/16/22,5/20/22,Money Management,Other BaaS Products,,0,0,0,0,-9642.94,null
5/13/24,5/14/24,Money Management,Other BaaS Products,,0,0,0,0,-7754.73,null
4/28/25,5/1/25,Money Management,Faster Payouts,,0,0,0,0,44701.57176,0
1/26/26,1/28/26,Money Management,Mass Payouts,,0,0,0,0,12973.65373,0
2/9/26,2/13/26,Money Management,Financial Accounts,,0,0,0,0,-3803.429899,0
8/11/25,8/17/25,Money Management,Other BaaS Products,,0,0,0,0,-2110.92,0
9/19/22,9/20/22,Money Management,Other BaaS Products,,0,0,0,0,-7793.57,null
7/29/24,7/29/24,Money Management,Other BaaS Products,,0,0,0,0,-5620.72,null
7/31/23,8/2/23,Money Management,Other BaaS Products,,0,0,0,0,-15496.41,null
12/15/25,12/20/25,Money Management,Mass Payouts,,0,0,0,0,7573.238867,0
